"PMID"	"DOI"	"Year"	"Category"	"Relevance"	"Title"	"AbstractBrief"
"42189579"	"10.2196/87898"	"2026"	"护理不良事件报告/患者安全"	"中"	"Simulation-Based Training for Nursing Students to Improve Patient Safety: Systematic Review."	"BACKGROUND: Patient safety is a fundamental pillar of health care quality. Simulation-based training provides a controlled environment for nursing students to develop safety competencies and error-recognition skills before clinical practice. OBJECTIVE: This systematic review aimed to describe and characterize the simulation-based education features and modal..."
"42175887"	"10.12968/bjon.2025.0322"	"2026"	"药物警戒/ADR上报"	"高"	"The STEPs educational framework for medicines management: using mnemonics to reduce harm."	"Evidence suggests that avoidable medication-related harm continues to be an ongoing concern and that educational strategies are needed to standardise and support nurses in developing pharmacovigilance. This article introduces the STEPs framework for medicines management, which uses mnemonics to provide an easy-to-remember, standardised structure for nurses t..."
"42180784"	"10.3389/fmed.2026.1839528"	"2026"	"护理不良事件报告/患者安全"	"中"	"Intraoperative peripheral intravenous complications in adults: a summary of evidence for prevention and management of infiltration/extravasation."	"OBJECTIVE: To systematically synthesize the best available evidence and develop an evidence-based practice framework for the prevention, early identification, and management of intraoperative intravenous infusion complications, including non-cytotoxic drug infiltration and cytotoxic drug extravasation, in perioperative adult patients. METHODS: Methodological..."
"42218738"	"10.1001/jamahealthforum.2026.1642"	"2026"	"药物警戒/ADR上报"	"高"	"Regulatory Definitions and Classification of Biosimilar Medications Across the 6 Regions of the World Health Organization: A Scoping Review."	"IMPORTANCE: Biosimilars can improve the accessibility and affordability of biologic medicines, but regulatory harmonization is needed to ensure consistent biosimilar policies and to support comparability with the original biologic reference product (RP). Currently, global regulatory policies and requirements remain inconsistent. OBJECTIVES: To summarize and ..."
"41943146"	"10.1186/s12912-026-04620-0"	"2026"	"药物警戒/ADR上报"	"高"	"Strengthening pharmacovigilance in emergency care: knowledge, attitudes and barriers to adverse drug reaction reporting among nurses in Ghana."	"BACKGROUND: Adverse drug reactions (ADRs) pose a significant challenge to patient safety, particularly in high-acuity settings such as emergency departments. Despite their critical role in pharmacovigilance, nurses often underreport ADRs due to systemic, knowledge-related, and attitudinal barriers. This study assessed nurses’ knowledge, attitudes and barrier..."
"41943791"	"10.1177/00185787261425847"	"2026"	"药物警戒/ADR上报"	"高"	"Practice and Determinants of Spontaneous Adverse Drug Reaction Reporting Among Healthcare Professionals: A Multicenter Cross-Sectional Study in Vietnam."	"BACKGROUND: Spontaneous adverse drug reaction (ADR) reporting is a cornerstone of pharmacovigilance but remains underutilized globally and in Vietnam. Evidence on healthcare professionals' knowledge of ADR reporting procedures and related determinants is essential to inform system-level improvements. OBJECTIVES: To assess ADR-reporting procedure knowledge (p..."
"41975933"	"10.3390/healthcare14070930"	"2026"	"药物警戒/ADR上报"	"高"	"Barriers to Adverse Drug Reaction Reporting Among Physicians, Nurses, and Pharmacists: A Scoping Review Comparing High-Income Versus Low-/Middle-Income Countries."	": Adverse drug reactions (ADRs) cause substantial harm, and a considerable proportion may be preventable, but under-reporting persists and weakens pharmacovigilance. Spontaneous reporting depends on clinicians, yet under-reporting persists and weakens pharmacovigilance. To map barriers to adverse drug reaction reporting among physicians, a comparison of nurs..."
"41776576"	"10.1186/s12912-026-04506-1"	"2026"	"护理不良事件报告/患者安全"	"中"	"The dark side of nurse-manager leadership: toxic leadership behaviours, adverse-event reporting, and care quality-an interpretive descriptive study."	"BACKGROUND: Toxic nurse-manager leadership is a critical threat to patient safety, yet the mechanisms through which it suppresses adverse-event reporting remain under-theorized, particularly in high power-distance contexts where deference norms may constrain upward voice. AIM: To generate practice-relevant, theory-informed explanations of how nurse-manager t..."
"41946650"	"10.1080/20415990.2026.2655547"	"2026"	"药物警戒/ADR上报"	"高"	"Subcutaneous atezolizumab for the treatment of non-small cell lung cancer."	"Subcutaneous atezolizumab (with rHuPH20) streamlines anti-PD-L1 delivery while preserving the intravenous (IV) formulation's performance. This review integrates pharmacokinetic, clinical, safety, patient-reported, and operational data from IMscin001 and related studies in NSCLC. A fixed 1,875-mg SC dose every 3 weeks provides bioavailability and steady-state..."
"41869795"	"10.1701/4669.46827"	"2026"	"药物警戒/ADR上报"	"高"	"[Pharmacovigilance and antibiotic resistance: analysis of real-world data from the Rizzoli Orthopedic Institute in the management of antibiotic-related adverse drug reactions in musculoskeletal diseases.]."	"BACKGROUND: Antibiotics can cause adverse drug reactions (ADRs) and hypersensitivity reactions (HSRs) through a variety of mechanisms. At our hospital, patients admitted with musculoskeletal tissue infection are followed by infectious disease consultants. The pharmacist only provides the therapy after verifying the correspondence (molecule, dosage and posolo..."
"41730795"	"10.1002/phar.70096"	"2026"	"药物警戒/ADR上报"	"高"	"Maternal and Pediatric Precision in Therapeutic Knowledge Portal (MPRINT-KP): Landscape Analysis of Pharmacology Research in Maternal and Pediatric Patient Populations."	"Pregnant women and children have been underrepresented in clinical studies due to ethical concerns and perceived vulnerabilities. This resulted in a significant gap in knowledge regarding the safety and efficacy of medications for these populations. Maternal and Pediatric PRecision In Therapeutics Knowledge Portal (MPRINT-KP) is designed to provide a compreh..."
"41755416"	"10.1111/jvp.70054"	"2026"	"药物警戒/ADR上报"	"高"	"Teaching Student Veterinary Professionals About Pharmacovigilance: A Survey of UK Veterinary Educators."	"Adverse drug event (ADE) reports submitted by veterinary professionals are essential for monitoring the safety and efficacy of marketed veterinary products. Despite this, the majority of veterinary ADEs are not reported. Further education on the topic of pharmacovigilance has been widely explored in human healthcare as a potential facilitator for reporting. ..."
"41680801"	"10.1186/s12913-026-14154-5"	"2026"	"药物警戒/ADR上报"	"高"	"A systematic review and meta-analysis of knowledge, attitude, and practice survey on materiovigilance among healthcare professionals."	"BACKGROUND: The Knowledge, Attitudes, and Practices (KAP) of Materiovigilance among Healthcare Professionals (HCPs) vary in nature. Inadequate awareness about Materiovigilance among HCPs restricts the effective reporting and monitoring of medical device-related adverse events. OBJECTIVE: This study aimed to analyse the current status of KAP of Materiovigilan..."
"41540183"	"10.1007/s00520-025-10310-5"	"2026"	"用药安全/合理用药"	"中-高"	"The effectiveness of telemonitoring, either self-administered or professionally assisted, in cancer care management: a descriptive, retrospective, observational cohort study."	"PURPOSE: Remote patient monitoring of symptoms is now recommended by International oncology guidelines. In France, knowledge of real-world outcomes using telemonitoring is limited. This real-world French study aimed to evaluate the effectiveness of a telemonitoring solution in patients receiving cancer care. METHODS: The Continuum + Connect solution enables ..."
"41478707"	"10.1016/j.pedhc.2025.07.016"	"2026"	"护理不良事件报告/患者安全"	"中"	"Monitoring Vaccine Safety: United States Vaccine Safety Surveillance Systems."	"Immunization is an effective public health tool to protect children from hospitalization and death from vaccine-preventable diseases. Vaccine safety monitoring is essential to understand risks of vaccination. The Centers for Disease Control and Prevention closely monitors vaccine safety through multiple surveillance systems, including V-safe, the Vaccine Adv..."
"41430675"	"10.1186/s12912-025-04104-7"	"2025"	"护理不良事件报告/患者安全"	"中"	"Design and practice of a novice nurse patient safety training curriculum: a quasi-experimental study."	"BACKGROUND: Novice nurses are particularly vulnerable to adverse events for various reasons, making it essential to enhance their patient safety competencies to ensure overall patient safety. Patient safety training is shifting from a knowledge-based to a competency-based model, thereby bridging the gap between theory and practice. AIMS: The aim of this stud..."
"41405272"	"10.1097/JS9.0000000000004467"	"2025"	"药物警戒/ADR上报"	"高"	"Anticoagulant-associated bleeding: real-world data-driven pharmacovigilance and insights for bleeding management."	"BACKGROUND: Anticoagulant drugs are essential for managing thrombotic diseases but lead to increasing bleeding risk. The choice of suitable anticoagulant drugs requires an assessment of the patient's thrombotic risk factors and underlying ischemic pathology. METHODS: This study constructs a closed-loop framework integrating qualitative literature review and ..."
"41473703"	"10.3389/fpubh.2025.1703929"	"2025"	"护理不良事件报告/患者安全"	"中"	"Patient safety culture assessment in five public hospitals of Sichuan Province: a cross-sectional study with HSOPSC 2.0."	"BACKGROUND: Patient safety is a core issue in the medical field, influenced by patient safety culture (PSC). Research on PSC in southwestern China remains insufficient. METHODS: This study is a cross-sectional survey. A convenience sample of healthcare workers from five hospitals in Sichuan Province was surveyed during January to March 2025. The Chinese vers..."
"41450481"	"10.3389/frhs.2025.1720494"	"2025"	"护理不良事件报告/患者安全"	"中"	"Challenges and dynamics in reporting medical device incidents: a qualitative study."	"BACKGROUND: Adverse event reporting for medical devices is essential for post-market surveillance and public health, preventing harm like patient injury, misdiagnosis, or death and is shaped by regulation that defines policies, enforcement, and responsibilities. Various factors-poor maintenance, manufacturing defects, user error, or clinical issues-can cause..."
"40688798"	"10.1016/j.dialog.2025.100227"	"2025"	"药物警戒/ADR上报"	"高"	"Assessment of pharmacovigilance knowledge and ADR reporting skills in undergraduate medical students using the OSPA model."	"BACKGROUND: Pharmacovigilance (PV) and adverse drug reaction (ADR) reporting are essential components of ensuring medication safety. However, many healthcare students have limited knowledge in these areas. This study evaluates the pharmacovigilance knowledge and ADR reporting skills among undergraduate medical and nursing students. METHODS: A cross-sectional..."
"41184753"	"10.1186/s12879-025-11592-0"	"2025"	"药物警戒/ADR上报"	"高"	"Understanding causes of incomplete reports of adverse drug reactions associated with dolutegravir-based HIV treatment in uganda: a qualitative study."	"INTRODUCTION: Although dolutegravir (DTG)-based HIV treatment has demonstrated superior efficacy, it has been associated with adverse drug reactions (ADRs). Robust pharmacovigilance systems that ensure that received ADRs reports are complete and accurate facilitate timely regulatory decision making. However, there is little research seeking to understand the..."
"40853444"	"10.1007/s40290-025-00580-z"	"2025"	"药物警戒/ADR上报"	"高"	"Awareness and Experience of Direct Healthcare Professional Communication and Risk Management Plan Educational Material among Healthcare Professionals in Finland."	"UNLABELLED: BACKGROUND AND OBJECTIVES: Additional risk minimization measures (aRMMs), such as direct healthcare professional communication (DHPC) and risk management plan (RMP) educational materials, are required for certain medicinal products to mitigate the risks associated with their use. This research aimed to assess healthcare professionals' (HCPs) awar..."
"39948219"	"10.1111/jan.16812"	"2025"	"护理不良事件报告/患者安全"	"中"	"Enhancing Adverse Event Reporting With Clinical Language Models: Inpatient Falls."	"AIMS: To develop a method for computationally detecting fall events using clinical language models to complement existing self-reporting mechanisms. DESIGN: Retrospective observational study. METHODS: Text data were collected from the unstructured nursing notes of three hospitals' electronic health records and the Korean national patient safety reports, tota..."
"41169539"	"10.1080/20523211.2025.2575828"	"2025"	"药物警戒/ADR上报"	"高"	"Promoting pharmacovigilance through educational strategies: impact of a national training intervention on the knowledge and practice of healthcare providers in Jordan."	"BACKGROUND: This study assessed how an educational intervention affected healthcare providers' knowledge and practice of pharmacovigilance (PV) principles, with an emphasis on enhancing the reporting ADRs. METHODS: In this cross-sectional study, a structured questionnaire was utilised. A pre- and post-educational intervention design was used to assess the in..."
"41131514"	"10.1186/s12912-025-03973-2"	"2025"	"护理不良事件报告/患者安全"	"中"	"Predictors of adverse event reporting intention among primary care nurses: a multi-center study in China."	"BACKGROUND: The reporting of adverse events (AEs) is essential for improving patient safety. However, there is limited evidence regarding the reporting intentions of nurses in primary healthcare institutions, particularly in resource-constrained settings. This study aimed to investigate the predictors of AE reporting intention among nurses in China’s primary..."
"41088086"	"10.1186/s12903-025-07020-z"	"2025"	"护理不良事件报告/患者安全"	"中"	"Sharps injuries in a dental specialty hospital: retrospective analysis of occupational risks, 2020-2024."	"BACKGROUND: Occupational sharps injuries (OSI) remain a critical occupational health risk for healthcare workers, particularly in dental specialty settings where the use of fine instruments and frequent blood exposure heighten vulnerability. However, systematic data on high-risk populations, procedural factors, and pathogen distribution in dental specialty h..."
"40445548"	"10.1007/s40801-025-00492-z"	"2025"	"药物警戒/ADR上报"	"高"	"Understanding Underreporting of Adverse Drug Reactions in the Philippines: A Mixed Methods Study."	"BACKGROUND: Adverse drug reaction (ADR) reporting is a crucial element in ensuring medication safety and effective pharmacovigilance. However, underreporting of ADRs remains a significant challenge in the Philippines despite efforts made by the national pharmacovigilance center (NPVC). This study aims to explore the factors contributing to underreporting of ..."
"40909003"	"10.3389/fneur.2025.1632231"	"2025"	"药物警戒/ADR上报"	"高"	"Dexamethasone in brain tumor patients: a real-world pharmacovigilance audit."	"INTRODUCTION: Dexamethasone is routinely prescribed for the management of peritumoral edema in brain tumor patients. Despite available orientations for its management in neuro-oncology patients, the individual needs according to the natural history of the disease and treatment options allied to a hierarchical system with multiple teams involved poses signifi..."
"40783750"	"10.1186/s12912-025-03678-6"	"2025"	"护理不良事件报告/患者安全"	"中"	"Investigating the prevalence of medication near-misses and reporting intention among nurses in tertiary hospitals from China."	"BACKGROUND: Globally, medication near-misses are a public health issue as they often have serious consequences for patients and healthcare systems. Currently, few studies have investigated nurses' intention to report medication near-misses. Therefore, this study aims to examine the incidence of medication near-misses and factors influencing reporting intenti..."
"40660953"	"10.1177/10781552251358171"	"2025"	"药物警戒/ADR上报"	"高"	"Frequency of adverse drug reactions in cancer patients: A study at the oncology department of a university hospital."	"ObjectivesWe aimed to investigate the adverse drug reactions (ADRs) observed in cancer patients, the drugs causing ADRs, ADRs reporting rate, common adverse effects, drug interactions, and the drugs used to manage these adverse effects.MethodsA questionnaire about pharmacovigilance, the most common ADRs and side effects observed in oncology patients, the fre..."
"39381898"	"10.1111/jocn.17483"	"2025"	"用药安全/合理用药"	"中-高"	"Analysis of the Incidence and Factors Influencing Medication Administration Errors Among Nurses: A Retrospective Study."	"AIMS: To explore the incidence and factors influencing medication administration errors (MAEs) among nurses. BACKGROUND: Medication administration is a global concern for patient safety. Few studies have assessed the incidence of MAEs or explored factors that considered the interplay between behaviour, the individual and the environment. METHODS: This retros..."
"40657641"	"10.3389/fphar.2025.1592957"	"2025"	"药物警戒/ADR上报"	"高"	"Pharmacovigilance-related events, disease burden and overall efficiency of care in european countries, 1990-2021."	"OBJECTIVES: This study aimed to evaluate and compare the disease burden of pharmacovigilance-related events in European countries, to identify the factors related to pharmacovigilance-related inputs in various countries, and to analyze and compare the comprehensive benefits of pharmacovigilance-related events in various countries. METHODS: Using the Global B..."
"40401039"	"10.1155/jonm/9921349"	"2025"	"药物警戒/ADR上报"	"高"	"Reducing Adverse Drug Reactions for Older People in the Community: Evaluating the Validity and Reliability of the ADRe Profile."	"Adverse drug reactions (ADRs), particularly in the context of polypharmacy, remain a persistent, unresolved problem for patients and healthcare professionals. The ADRe Profile identifies medicine-related harms, and supports their resolution, thereby improving care quality and preventing future problems. The objective of this study was to assess the validity ..."
"40366197"	"10.4274/tjps.galenos.2025.44902"	"2025"	"药物警戒/ADR上报"	"高"	"Integrating a Pharmacovigilance and Response Unit Team for a Better Adverse Drug Reaction Reporting and Management: Insights from a Prospective Cross-Sectional Study."	"OBJECTIVES: The multidisciplinary team approach improves adverse drug reaction (ADR) reporting and management. Our study aims to integrate a pharmacovigilance (PV) and Response Team within the general medicine department to improve ADR reporting and management. MATERIALS AND METHODS: We conducted a prospective cross-sectional study for seven months in four g..."
"39888187"	"10.1111/jnu.13051"	"2025"	"护理不良事件报告/患者安全"	"中"	"The Effect of Toolbox Trainings on Nursing Sensitive Quality Indicators: A Randomized Controlled Trial."	"INTRODUCTION: Toolbox training or toolbox talks is short-term training to improve occupational health and safety practices in various sectors. These on-the-job trainings provide employees with opportunities to ask questions and share experiences, facilitating the enhancement of workplace safety practices. The aim of this study is to determine the impact of t..."
"40306997"	"10.1136/bmjopen-2024-092430"	"2025"	"药物警戒/ADR上报"	"高"	"Cohort profile: measuring adverse pregnancy and newborn congenital outcomes (MANGO) study in Kenya."	"PURPOSE: Pharmacovigilance (PV) systems to assess the safety of antiretroviral treatment used periconception and during pregnancy are lacking in low-resource settings with high HIV burdens, and strategies to guide their implementation are limited. We implemented the Measuring Adverse Pregnancy and Newborn Congenital Outcomes (MANGO) study in Kenya to address..."
"40356726"	"10.4102/jphia.v16i1.678"	"2025"	"药物警戒/ADR上报"	"高"	"COVID-19 vaccine uptake and predictors of hesitancy among healthcare workers in Côte d'Ivoire."	"BACKGROUND: Vaccine hesitancy hinders COVID-19 control, especially among healthcare workers (HCWs). AIM: This study examined factors influencing COVID-19 vaccine uptake and hesitancy among HCWs in Abidjan, Côte d'Ivoire. SETTING: The study was conducted among healthcare workers in Abidjan, the capital city of Côte d'Ivoire. METHODS: A cross-sectional study w..."
"40278770"	"10.3390/tropicalmed10040097"	"2025"	"药物警戒/ADR上报"	"高"	"COVID-19 in Morocco: Nurses' Knowledge of Anti-COVID-19 Vaccines and Their Involvement in Vaccine Vigilance."	"The COVID-19 pandemic has highlighted the crucial role of nurses in managing health crises, particularly in implementing vaccination campaigns launched in many countries worldwide. This descriptive study assesses nurses' knowledge of COVID-19 vaccines and their involvement in vaccine vigilance. Conducted over four months in 2022 among 200 primary healthcare ..."
"40134523"	"10.2147/RMHP.S482233"	"2025"	"护理不良事件报告/患者安全"	"中"	"Reducing Nurses' Barriers to Reporting Adverse Events Using a WeChat-Based Cognitive Load Training Platform: An Open-Label, Randomized Controlled Trial."	"OBJECTIVE: To investigate the effects of a cognitive load theory (CLT)-based WeChat training platform on reducing the barriers to reporting adverse events among clinical nurses. METHODS: In total, 400 clinical nurses from a tertiary general hospital were randomized into experimental and control groups (200 each). The experimental group used the CLT-based WeC..."
"40071111"	"10.3389/fpubh.2025.1518552"	"2025"	"护理不良事件报告/患者安全"	"中"	"Adverse events and contributing factors in Chinese nursing homes: a multisite cross-sectional study."	"BACKGROUND: Adverse events in nursing homes, which are unintended incidents causing unnecessary harm to older residents. Previous studies in Chinese populations often focused on adverse events in hospitals, rather than residents in nursing homes. Additionally, they tended to focus on single incident rather than multiple types of adverse events. This study ai..."
"40144077"	"10.1007/s40670-024-02162-1"	"2025"	"药物警戒/ADR上报"	"高"	"Adequacy of Pharmacovigilance Training in the Health Professional Training Institutions in Uganda: Training Gaps and Opportunities for Improvement."	"BACKGROUND: Despite efforts to improve pharmacovigilance systems, Uganda's reporting rate remains below the WHO effective reporting criteria of 200 reports per a million inhabitants annually. Adequate education of health science students on pharmacovigilance is one of the core sustainable interventions to improve pharmacovigilance systems. This study assesse..."
"39935717"	"10.36401/JQSH-24-29"	"2025"	"护理不良事件报告/患者安全"	"中"	"Assessing Patient Safety Culture and Adverse Events Reporting Among Nurses: A Cross-Sectional Study in Ghana."	"INTRODUCTION: Patient safety is a global concern for both health professionals and the public. Research indicates that assessing patient safety culture can help improve patient safety outcomes. Nursing care strategically positions nurses at the center of patient safety promotion, and their proximity to patients makes them the drivers of patient safety. The a..."
"39259332"	"10.1007/s00210-024-03431-x"	"2025"	"药物警戒/ADR上报"	"高"	"Barriers in reporting adverse effects of medical devices: a literature review."	"Medical devices play an essential role in the delivery of healthcare but its use is not entirely risk free. There are several instances where it causes mortality or morbidity among users. It is important to evaluate the risks involved at every stage of its application to bring improvement in the standard of healthcare. For the purpose Materiovigilance Progra..."
"39103307"	"10.1111/risa.17600"	"2025"	"护理不良事件报告/患者安全"	"中"	"Lost needles, pads and where to find them."	"This study aims to assess the frequency and associated factors of surgical ""near-miss"" incidents (NMIs) in neurosurgery using an event reporting system, to inform the development of appropriate interventions. This retrospective study collected reports of NMIs in our hospital's neurosurgery operating room (OR) from January 2019 to January 2022 through an adve..."
"39896316"	"10.5334/gh.1393"	"2025"	"药物警戒/ADR上报"	"高"	"Acceptability and Implementation Challenges of Benzathine Penicillin G Secondary Prophylaxis for Rheumatic Heart Disease in Ethiopia: A Qualitative Study."	"BACKGROUND: Monthly intramuscular injections of benzathine penicillin G (BPG) remain the cornerstone of secondary prophylaxis for acute rheumatic fever and rheumatic heart disease (RHD). The barriers to successful delivery of BPG may be patient- or service-delivery-dependent. OBJECTIVE: The aim of the present study was to explore the perceived acceptability ..."
"39875957"	"10.1186/s12913-024-12139-w"	"2025"	"药物警戒/ADR上报"	"高"	"Barriers to and facilitators of healthcare professionals in ADR reporting in a tertiary care hospital in India."	"INTRODUCTION: Several adverse drug reactions (ADRs) go unreported within a healthcare setting despite the risks they cause. We therefore decided to conduct this study in order to recognize the obstacles that hinder the healthcare professionals (HCPs) in a tertiary care hospital in Kattankulathur, Tamil Nadu from reporting ADRs and what strategies ought to be..."
"40017961"	"10.1136/bmjph-2024-001776"	"2025"	"培训/教育/能力建设"	"中"	"Improving the provision of clinical pharmacy services in low- and middle-income countries: a qualitative study in tertiary health facilities in Tanzania."	"BACKGROUND: The provision of clinical pharmacy services (CPS) in low- and middle-income countries is still low. The reported challenges in providing CPS include healthcare structures, public policies, resources, workforce, culture and education inequalities. This study aimed to explore the strategies to improve the provision of CPS in tertiary health facilit..."
"39844473"	"10.1111/cts.70134"	"2025"	"药物警戒/ADR上报"	"高"	"Knowledge, Attitude, Practice, and Barriers of Adverse Drug Reaction Reporting Among Healthcare Professionals in Timor-Leste: A Cross-Sectional Survey."	"The Timor-Leste Pharmacovigilance (PV) became an associate member of the WHO Programme for International Drug Monitoring in 2019; however, the adverse drug reaction (ADR) reporting rate remains low, with only nine reports per 1342 million inhabitants over 5 years. This study aimed to evaluate the knowledge, attitude, practice, and barriers related to ADRs, p..."
"39770496"	"10.3390/ph17121654"	"2024"	"药物警戒/ADR上报"	"高"	"System.Xml.XmlElement"	"BACKGROUND/OBJECTIVES: While breastfeeding is highly recommended, breastfed infants may be exposed to drugs by milk due to maternal pharmacotherapy, resulting in a risk of adverse drug events (ADE) or reactions (ADRs). The U.S. Food and Drug Administration (FDA) Adverse Event Reporting System (FAERS) is an online pharmacovigilance database, while the Drugs a..."
"39712313"	"10.3389/fpubh.2024.1434387"	"2024"	"护理不良事件报告/患者安全"	"中"	"Nurses' adverse event reporting attitudes and related factors: a cross-sectional study in maternal and child specialized hospitals in China."	"OBJECTIVE: To investigate the current situation of nurses' attitude toward adverse event reporting and identify its related factors in maternal and child specialized hospitals. METHODS: A questionnaire survey was conducted among 943 nurses in 18 second-level and above maternal and child specialized hospitals in Sichuan province in China. The questionnaire in..."
"39734877"	"10.1016/j.mjafi.2023.03.005"	"2024"	"药物警戒/ADR上报"	"高"	"A questionnaire-based study on the knowledge, attitude and practice on pharmacovigilance among pharmacists and nursing staff at teaching hospitals."	"BACKGROUND: The present study aimed to evaluate the knowledge, attitude and practices (KAP) about pharmacovigilance (PV) practices among health care professionals, that is, pharmacists and nursing staff before and after educational intervention in a tertiary care hospital. METHODS: This was an observational and questionnaire-based pre- and post-test educatio..."
"38650586"	"10.1111/inr.12962"	"2024"	"护理不良事件报告/患者安全"	"中"	"The association between the adverse event reporting system and burnout and job satisfaction of nurses: Workplace violence as a mediator."	"AIMS: This study aims to explore the association between the implementation of the adverse event reporting system (AERS), burnout, and job satisfaction among psychiatric nurses, with a focus on examining the mediating effect of workplace violence from patients. BACKGROUND: Many organizational and personal factors contribute to burnout and job satisfaction ex..."
"39470185"	"10.1002/14651858.CD012594.pub2"	"2024"	"药物警戒/ADR上报"	"高"	"Improving adverse drug event reporting by healthcare professionals."	"BACKGROUND: Adverse drug events, encompassing both adverse drug reactions and medication errors, pose a significant threat to health, leading to illness and, in severe cases, death. Timely and voluntary reporting of adverse drug events by healthcare professionals plays a crucial role in mitigating the morbidity and mortality linked to unexpected reactions an..."
