"id","created_at","updated_at","scope","paper_id","title","risk","status","path","git_commit"
"APR-20260714-145059-11383c","2026-07-14T14:50:59+08:00","2026-07-14T14:54:16+08:00","paper","nonionic-contrast-faers-nursing","Nursing Open first then CMS fallback target route","high","approved","logs/approvals/2026/07/APR-20260714-145059-11383c-nursing-open-first-then-cms-fallback-target-route.md","997151e"
"APR-20260714-153244-865f5c","2026-07-14T15:32:44+08:00","2026-07-14T15:36:20+08:00","paper","nonionic-contrast-faers-nursing","Nursing Open manuscript revision plan","high","approved","logs/approvals/2026/07/APR-20260714-153244-865f5c-nursing-open-manuscript-revision-plan.md",""
"APR-20260716-113207-fad196","2026-07-16T11:32:07+08:00","2026-07-16T11:51:53+08:00","global","","Add research direction exploration module","medium","approved","logs/approvals/2026/07/APR-20260716-113207-fad196-add-research-direction-exploration-module.md","d225723"
"APR-20260716-115654-791c4e","2026-07-16T11:56:54+08:00","2026-07-16T11:58:06+08:00","global","","Convert research direction workflow into skill","low","approved","logs/approvals/2026/07/APR-20260716-115654-791c4e-convert-research-direction-workflow-into-skill.md","06320dc"
"APR-20260716-130826-7d1719","2026-07-16T13:08:26+08:00","2026-07-16T13:10:13+08:00","global","","Reset research direction discussion workspace","medium","approved","logs/approvals/2026/07/APR-20260716-130826-7d1719-reset-research-direction-discussion-workspace.md",""
"APR-20260723-164737-bc2abe","2026-07-23T16:47:37+08:00","2026-07-23T16:50:38+08:00","paper","nonionic-contrast-faers-nursing","external multimodal processing for local ADR register images","high","approved","logs/approvals/2026/07/APR-20260723-164737-bc2abe-external-multimodal-processing-for-local-adr-register-images.md",""
"APR-20260728-112303-0de387","2026-07-28T11:23:03+08:00","2026-07-28T13:22:32+08:00","paper","nonionic-contrast-faers-nursing","FAERS-local-audit-LLM manuscript architecture","high","revised","logs/approvals/2026/07/APR-20260728-112303-0de387-faers-local-audit-llm-manuscript-architecture.md",""
"APR-20260728-132232-75230b","2026-07-28T13:22:32+08:00","2026-07-28T13:23:20+08:00","paper","nonionic-contrast-faers-nursing","Single-chain nursing ADE reporting manuscript framework","high","approved","logs/approvals/2026/07/APR-20260728-132232-75230b-single-chain-nursing-ade-reporting-manuscript-framework.md",""
"APR-20260728-133416-76bc30","2026-07-28T13:34:16+08:00","2026-07-28T13:34:36+08:00","paper","nonionic-contrast-faers-nursing","External-review refinements to nursing AE reporting structure","high","approved","logs/approvals/2026/07/APR-20260728-133416-76bc30-external-review-refinements-to-nursing-ae-reporting-structure.md",""
"APR-20260728-134825-fd1e8e","2026-07-28T13:48:25+08:00","2026-07-28T13:48:26+08:00","paper","nonionic-contrast-faers-nursing","Second external audit implementation and specification package","high","approved","logs/approvals/2026/07/APR-20260728-134825-fd1e8e-second-external-audit-implementation-and-specification-package.md",""
